Word,Count,POS,Definition
Byzantine,9,"""a.""","""Of or pertaining to Byzantium."""
Byzantine,9,"""n.""","""A native or inhabitant of Byzantium  now Constantinople; sometimes applied to an inhabitant of the modern city of Constantinople."""
C,1,"""""","""C is the third letter of the English alphabet. It is from the Latin letter C  which in old Latin represented the sounds of k and g (in go); its original value being the latter. In Anglo-Saxon words or Old English before the Norman Conquest it always has the sound of k. The Latin C was the same letter as the Greek / / and came from the Greek alphabet. The Greeks got it from the Ph/nicians. The English name of C is from the Latin name ce and was derived probably through the French. Etymologically C is related to g h k"""
C,1,"""""","""The keynote of the normal or """"""""natural"""""""" scale  which has neither flats nor sharps in its signature; also the third note of the relative minor scale of the same."""
C,1,"""""","""C after the clef is the mark of common time  in which each measure is a semibreve (four fourths or crotchets); for alla breve time it is written /."""
C,1,"""""","""The """"""""C clef "" a modification of the letter C placed on any line of the staff shows that line to be middle C."""
C,1,"""""","""As a numeral  C stands for Latin centum or 100 CC for 200 etc."""
Caaba,5,"""n.""","""The small and nearly cubical stone building  toward which all Mohammedans must pray."""
Caas,4,"""n. sing. & pl.""","""Case."""
Cab,3,"""n.""","""A kind of close carriage with two or four wheels  usually a public vehicle."""
Cab,3,"""n.""","""The covered part of a locomotive  in which the engineer has his station."""
Cab,3,"""n.""","""A Hebrew dry measure  containing a little over two (2.37) pints."""